Epoch [39/200] - Avg Loss: 1.216988, Seg Loss: 1.190977, Inv Loss: 0.003472, Inc Loss: 0.022538, Best Loss: 1.216988, LR: 0.000012
Epoch [40/200] - Avg Loss: 1.201671, Seg Loss: 1.176839, Inv Loss: 0.003418, Inc Loss: 0.021414, Best Loss: 1.201671, LR: 0.000010
Epoch [41/200] - Avg Loss: 1.183372, Seg Loss: 1.159841, Inv Loss: 0.003322, Inc Loss: 0.020209, Best Loss: 1.183372, LR: 0.000009
Epoch [42/200] - Avg Loss: 1.174023, Seg Loss: 1.151879, Inv Loss: 0.003207, Inc Loss: 0.018937, Best Loss: 1.174023, LR: 0.000007
Epoch [43/200] - Avg Loss: 1.168374, Seg Loss: 1.146022, Inv Loss: 0.003185, Inc Loss: 0.019166, Best Loss: 1.168374, LR: 0.000006
Epoch [44/200] - Avg Loss: 1.155456, Seg Loss: 1.134653, Inv Loss: 0.003021, Inc Loss: 0.017781, Best Loss: 1.155456, LR: 0.000004
Epoch [45/200] - Avg Loss: 1.146757, Seg Loss: 1.126704, Inv Loss: 0.002916, Inc Loss: 0.017136, Best Loss: 1.146757, LR: 0.000003
Epoch [46/200] - Avg Loss: 1.141325, Seg Loss: 1.121544, Inv Loss: 0.002843, Inc Loss: 0.016938, Best Loss: 1.141325, LR: 0.000003
Epoch [47/200] - Avg Loss: 1.137362, Seg Loss: 1.117915, Inv Loss: 0.002803, Inc Loss: 0.016645, Best Loss: 1.137362, LR: 0.000002
Epoch [48/200] - Avg Loss: 1.133579, Seg Loss: 1.114503, Inv Loss: 0.002753, Inc Loss: 0.016323, Best Loss: 1.133579, LR: 0.000001
Epoch [49/200] - Avg Loss: 1.129636, Seg Loss: 1.110711, Inv Loss: 0.002698, Inc Loss: 0.016227, Best Loss: 1.129636, LR: 0.000001
Epoch [50/200] - Avg Loss: 1.126258, Seg Loss: 1.107379, Inv Loss: 0.002669, Inc Loss: 0.016210, Best Loss: 1.126258, LR: 0.000001
Epoch [51/200] - Avg Loss: 1.123682, Seg Loss: 1.104914, Inv Loss: 0.002637, Inc Loss: 0.016131, Best Loss: 1.123682, LR: 0.000001
